date,code,open,high,low,close,volume,amount,pctChg
2014-03-14,sh.000300,2149.6760,2149.6760,2088.7290,2122.8360,32695116200,285245776093.0000,-2.099377
2014-03-21,sh.000300,2132.7930,2163.2250,2077.7590,2158.7980,33872357400,299555787811.0000,1.694055
2014-03-28,sh.000300,2161.8980,2191.4910,2144.5840,2151.9650,39100687500,321167611834.0000,-0.316519
2014-04-04,sh.000300,2156.0540,2196.1380,2134.4220,2185.4720,28884506800,250162720158.0000,1.557042
2014-04-11,sh.000300,2179.9200,2290.7420,2178.9050,2270.6660,36873768700,334643192582.0000,3.898197
2014-04-18,sh.000300,2267.9430,2275.8300,2203.0470,2224.4790,28125276100,261429536181.0000,-2.034073
2014-04-25,sh.000300,2209.9420,2231.7070,2165.0750,2167.8260,26644079900,243418291982.0000,-2.546799
2014-04-30,sh.000300,2165.7730,2171.3850,2131.7830,2158.6590,15402474200,131042185281.0000,-0.422866
2014-05-09,sh.000300,2152.5900,2173.6180,2120.5950,2133.9110,23955164900,201680438378.0000,-1.146452
2014-05-16,sh.000300,2150.3130,2185.0460,2132.1860,2145.9520,28588651300,229657024674.0000,0.564269
2014-05-23,sh.000300,2139.3620,2160.9090,2096.5140,2148.4140,20301517300,172606667491.0000,0.114728
2014-05-30,sh.000300,2161.8920,2178.0920,2142.0070,2156.4640,21431950600,196636471036.0000,0.374695
2014-06-06,sh.000300,2157.6400,2168.9950,2117.3130,2134.7160,15601568500,138979623033.0000,-1.008503
2014-06-13,sh.000300,2128.2250,2183.6450,2126.6650,2176.2420,23466139900,206071507209.0000,1.945270
2014-06-20,sh.000300,2176.4380,2196.3430,2119.4980,2136.7290,25825080100,227142829555.0000,-1.815653
2014-06-27,sh.000300,2137.9260,2159.5260,2126.0350,2150.2580,21608377600,195827760159.0000,0.633164
2014-07-04,sh.000300,2152.3060,2184.9640,2152.3060,2178.6950,28385458500,257502486762.0000,1.322492
2014-07-11,sh.000300,2178.5460,2186.2020,2134.7950,2148.0090,28011475000,255144886723.0000,-1.408458
2014-07-18,sh.000300,2149.5420,2183.2480,2145.2780,2164.1440,34446165000,286011583936.0000,0.751161
2014-07-25,sh.000300,2164.2230,2260.8900,2158.9550,2260.4540,43533708700,365674669753.0000,4.450258
2014-08-01,sh.000300,2272.3830,2371.5000,2272.3830,2329.4020,67446696500,560077036701.0000,3.050184
2014-08-08,sh.000300,2336.6300,2380.7740,2319.2880,2331.1340,54838627600,462750278383.0000,0.074354
2014-08-15,sh.000300,2338.0080,2370.5130,2333.1230,2360.6350,48543360700,426272589330.0000,1.265521
2014-08-22,sh.000300,2366.2720,2379.8040,2333.2990,2365.3640,51216181100,462100999571.0000,0.200327
2014-08-29,sh.000300,2367.0190,2367.6060,2309.6390,2338.2870,39259623800,355322136896.0000,-1.144729
2014-09-05,sh.000300,2340.9250,2450.6340,2338.5300,2449.2590,56631586900,535561243421.0000,4.745867
2014-09-12,sh.000300,2452.2270,2461.4730,2412.6220,2438.3580,46951261400,429097043584.0000,-0.445073
2014-09-19,sh.000300,2433.0010,2442.9240,2379.0910,2425.2110,65199893100,538123701122.0000,-0.539174
2014-09-26,sh.000300,2419.3260,2462.6680,2374.1080,2437.2010,56794912600,492181678550.0000,0.494390
2014-09-30,sh.000300,2443.9100,2454.8850,2435.6110,2450.9880,23920595600,213370338665.0000,0.565690
2014-10-10,sh.000300,2460.8700,2488.1130,2445.2680,2466.7890,40751183100,359177709292.0000,0.644679
2014-10-17,sh.000300,2457.4120,2480.3000,2410.4010,2441.7320,68571554000,575004563007.0000,-1.015774
2014-10-24,sh.000300,2448.4530,2459.2550,2385.7250,2390.7060,45480021400,405364229064.0000,-2.089746
2014-10-31,sh.000300,2377.5420,2512.1890,2361.6800,2508.3250,76276832900,611790082582.0000,4.919844
2014-11-07,sh.000300,2515.8240,2541.5490,2482.9830,2502.1530,97295212300,748537481734.0000,-0.246061
2014-11-14,sh.000300,2529.8300,2607.5190,2514.7100,2581.0930,111986323200,949695848625.0000,3.154883
2014-11-21,sh.000300,2613.5130,2614.0860,2522.8360,2583.4550,68074442800,626899368372.0000,0.091512
2014-11-28,sh.000300,2614.1600,2809.5430,2602.9440,2808.8190,138720229600,1302608920344.0000,8.723357
2014-12-05,sh.000300,2825.6110,3195.7980,2804.2930,3124.8850,214480361200,2133114238909.0000,11.252630
2014-12-12,sh.000300,3108.2720,3387.8270,3058.1910,3193.2270,221051263500,2425986155989.0000,2.187024
2014-12-19,sh.000300,3176.8290,3397.1830,3143.2970,3383.1670,186364024800,2131860021697.0000,5.948215
2014-12-26,sh.000300,3396.2510,3455.2070,3188.4950,3445.8390,193140102200,2022692042427.0000,1.852465
2015-01-09,sh.000300,3566.0890,3689.7530,3536.3950,3546.7230,183733723200,2203153685805.0000,0.368395
2015-01-16,sh.000300,3531.5150,3662.1580,3461.3220,3635.1460,117022760200,1485353708535.0000,2.493090
2015-01-23,sh.000300,3414.0130,3627.8060,3325.6810,3571.7320,151430248800,1880230727626.0000,-1.744469
2015-01-30,sh.000300,3580.1180,3616.2580,3431.9360,3434.3900,115175361300,1435201844905.0000,-3.845249
2015-02-06,sh.000300,3360.1930,3487.9510,3285.9350,3312.4200,102242893900,1242928942758.0000,-3.551431
2015-02-13,sh.000300,3305.7340,3509.5050,3298.5970,3469.8280,83344834200,1044228452203.0000,4.752054
2015-02-17,sh.000300,3473.2890,3536.8200,3466.6070,3522.3220,33096965600,437256989152.0000,1.512870
2015-02-27,sh.000300,3529.5500,3594.8130,3456.8710,3572.8430,61765422700,763410079164.0000,1.434310
2015-03-06,sh.000300,3603.4520,3608.6910,3467.6760,3478.5200,110873345400,1430832643389.0000,-2.639998
2015-03-13,sh.000300,3449.6960,3641.3920,3417.4860,3617.6570,112968528600,1378439618777.0000,3.999891
2015-03-20,sh.000300,3641.7730,3916.8630,3621.1190,3892.5740,185561916600,2305648121277.0000,7.599311
2015-03-27,sh.000300,3923.0830,3993.0320,3883.7820,3971.6970,188518246400,2474231751342.0000,2.032665
2015-04-03,sh.000300,3999.0240,4170.5580,3999.0240,4170.5380,185424976100,2554513154475.0000,5.006449
